SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-001,J.B PHARMACY,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-002,RITZ MEDICALS,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-003,BHARAGAVI,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-004,CHANDRA ,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-005,APUROOP,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-006,MEDWIN,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-007,BALAJI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-008,MAYURI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-009,SRINIVASA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-010,SHOBA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-011,SAI SANJEEVANAI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-012,AYYAPPA SANTOSHI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-013,MANIKANTA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-014,SRI LAXMI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-015,VENKATWSWRA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-016,OMINI,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-017,CNR,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-018,SAI SRI,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-019,SRI SRINIVASA,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-020,CUTIES,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-021,OM SAI,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-022,LEELAVATHI,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-023,RAGURAMIREDDY,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-024,SHIVA,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-025,RAJARAJWSARI,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-026,KAMMAL,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3730927,78.4900381
CHL-027,MANIKANTA,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-028,SRI SAI,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-029,VENKATESWARA,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-030,KAMAL,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-031,MEDICARE,,,,,,,,,,,,,,,,,,Nalgonda,,,,Nalgonda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.1882998,79.1999949
CHL-032,DEVI SRI,,,,,,,,,,,,,,,,,,Nalgonda,,,,Nalgonda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.1882998,79.1999949
CHL-033,RAGHU,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-034,SHIVA,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-035,ABHISAI,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-036,RAMYA,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-037,BAABU,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-038,JAYA,,,,,,,,,,,,,,,,,,Miryalaguda,,,,Miryalaguda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,16.8753106,79.5659633
CHL-039,ANUS,,,,,,,,,,,,,,,,,,Nalgonda,,,,Nalgonda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.1882998,79.1999949
CHL-040,INDAIAN,,,,,,,,,,,,,,,,,,Nalgonda,,,,Nalgonda,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.1882998,79.1999949
CHL-041,VISHANAVI,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3606072,78.4731848
CHL-042,SIDDIVINAYAKA,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3606072,78.4731848
CHL-043,MUKESH,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-044,SAI RAM,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-045,AKSAHARA,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-046,OWAISI,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,2,17.3479997,78.5085841
CHL-047,ESRA,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
CHL-048,SHIRISHA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-049,SWAGATH,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-050,FREEDOAM,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-051,NEHA,,,,,,,,,,,,,,,,,,Dilusukhnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3687826,78.5246706
CHL-052,SRINIVASA,,,,,,,,,,,,,,,,,,Vanastalipuram,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3286444,78.5753006
CHL-053,OM SAI,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-054,CARE MEDICAL HALL,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-055,CHILUKUR VENKATESWRA,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-056,ROHINI,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-057,SURYA,,,,,,,,,,,,,,,,,,Santoshnagar,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3479997,78.5085841
CHL-058,DELUX,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
CHL-059,HAMEEZ,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
CHL-060,S.K,,,,,,,,,,,,,,,,,,Malakpet,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3730927,78.4900381
CHL-061,ADARSH,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
CHL-062,SARDAR,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
CHL-063,A TO Z,,,,,,,,,,,,,,,,,,Oldcity,,,,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,,Monthly,3,17.3606072,78.4731848
